IA Control,CCI,SRGID,STIGID,SRG Requirement,Requirement,SRG VulDiscussion,VulDiscussion,Status,SRG Check,Check,SRG Fix,Fix,Severity,Mitigation,Artifact Description,Status Justification
AC-3,CCI-000213,SRG-APP-000033-CTR-000095,,Least privilege access and need to know must be required to access the container platform runtime.,Access to the container runtime environment must be managed based upon user need and least privileged.,"The container platform runtime is used to instantiate containers. If this process is accessed by those persons who are not authorized, those containers offering services can be brought to a denial of service (DoS) situation, disabling a large number of services with a small change to the container platform. To limit this threat, it is important to limit access to the runtime to only those individuals with runtime duties.",,Not Applicable,"Review the container platform to determine if only those individuals with runtime duties have access to the container platform runtime. 

If users have access to the container platform runtime that do not have runtime duties, this is a finding.",,Configure the container platform to use least privilege and need to know when granting access to the container runtime. The fix ensures the proper roles and permissions are configured.,,CAT II,,,Prisma Cloud Compute does not directly control the privileged access of the container environment. The Docker Access (https://docs.twistlock.com/docs/compute_edition/access_control/rbac.html) and Open Policy Agent (https://docs.twistlock.com/docs/compute_edition/access_control/open_policy_agent.html) features could be used to control behaviors but it enabled/configured by default. 
AC-3,CCI-000213,SRG-APP-000033-CTR-000100,,Least privilege access and need to know must be required to access the container platform keystore.,Users requiring access to Prisma Cloud Compute’s Credential Store must be assigned either the Administrator or Operator role.,"The container platform keystore is used to store access keys and tokens for trusted access to and from the container platform. The keystore gives the container platform a method to store the confidential data in a secure way and to encrypt the data when at rest. If this data is not protected through access controls, it can be used to access trusted sources as the container platform breaking the trusted relationship. To circumvent unauthorized access to the keystore, the container platform must have access controls in place to only allow those individuals with keystore duties.","Container environments tend to utilize many third party services across multiple cloud providers. To improve accessibility and reusability, Prisma Cloud Compute manages all credentials in a central encrypted store. Only users assigned the role of Administrator or Operator have rights to add, delete or modify credentials in the credential store.  ",Applicable - Configurable,"Review the container platform to determine if only those individuals with keystore duties have access to the container platform keystore. 

If users have access to the container platform keystore that do not have keystore duties, this is a finding.","Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Users and inspect the users’ role assignments.

Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Groups and inspect the groups’ role assignments.

If using external identity providers and associating group membership to Prisma Cloud Compute role inspect the identity provider’s group memberships for the user.

If users have been assigned the Administrator or Operator role and do not require access to Prisma Cloud Compute’s Credential Store this is a finding.",Configure the container platform to use least privilege and need to know when granting access to the container keystore. The fix ensures the proper roles and permissions are configured.,Assign Prisma Cloud Compute Administrator and Operator roles to users requiring the rights to modify the Prisma Cloud Compute’s Credential Store,CAT II,,https://docs.twistlock.com/docs/compute_edition/authentication/credentials_store.html,
AC-4,CCI-001368,SRG-APP-000038-CTR-000105,,The container platform must enforce approved authorizations for controlling the flow of information within the container platform based on organization-defined information flow control policies.,Prisma Cloud Compute Collections must be used to partition views and enforce organizational defined need-to-know access.,Controlling information flow between the container platform components and container user services instantiated by the container platform must enforce organization-defined information flow policies. Example methods for information flow control are using labels and separate namespace for containers to segregate services; user permissions and roles to limit what user services are available to each user; controlling the user the services are able to execute as; and limiting inter-container network traffic and the resources containers can consume.,"Prisma Cloud Compute Collections are used to scope rules to target specific resources in an environment, partition views and enforce which views specific users and groups can see. Collections can control access to data on a need-to-know basis.
",Applicable - Configurable,"Review the container platform to determine if approved authorizations for controlling the flow of information within the container platform based on organization-defined information flow control policies is being enforced. 

If the organization-defined information flow policies are not being enforced, this is a finding.",Navigate to Prisma Cloud Compute Console’s Manage -Collections and Tags and create and assign Collections according to organizational policy. If no organizational specific policies are defined this is a finding.,Configure the container platform to enforce approved authorizations for controlling the flow of information within the container platform based on organization-defined information flow control policies.,Create Collections when separation of Prisma Cloud Compute data is required.,CAT II,,https://docs.twistlock.com/docs/compute_edition/configure/collections.html,
AC-4,CCI-001414,SRG-APP-000039-CTR-000110,,The container platform must enforce approved authorizations for controlling the flow of information between interconnected systems and services based on organization-defined information flow control policies.,Prisma Cloud Compute Cloud Native Network Firewall (CNNF) automatically monitors layer 4 (TCP) inter-container communications. Enforcement policies must be created. ,Controlling information flow between the container platform components and container user services instantiated by the container platform must enforce organization-defined information flow policies. Example methods for information flow control are: using labels for containers to segregate services; user permissions and roles to limit what user services are available to each user; controlling the user the services are able to execute as; and limiting inter-container network traffic and the resources containers can consume.,Network segmentation and compartmentalization is an important part of a comprehensive defense in depth strategy. It limits damage by preventing attackers from moving laterally through the environment.,Applicable - Configurable,"Review the container platform configuration to determine if organization-defined information flow controls are implemented. 

If information flow controls are not implemented, this is a finding.",Navigate to Prisma Cloud Compute Console’s Defend -CNNF -Container determine if inter-container communication rules exist in accordance to organizational policy and application requirements. If not policies exist this is a finding.,Configure the container platform to implement organization-defined information flow controls.,Create a CNNF rule to monitor and/or control TCP traffic between containers in Defend -CNNF -Container,CAT II,,https://docs.twistlock.com/docs/compute_edition/firewalls/cnnf_self_hosted.html,Inter-container network connectivity is automatically monitored and displayed within the Radar. CNNF policies can be created to explicitly control inter-container traffic.
AC-7 a,CCI-000044,SRG-APP-000065-CTR-000115,,The container platform must enforce the limit of three consecutive invalid logon attempts by a user during a 15-minute time period.,Prisma Cloud Compute must limit brute force password attempts.,"By limiting the number of failed login attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute forcing, is reduced. Limits are imposed by locking the account.",Limiting the number of failed authentication attempts reduces the success of unauthorized access via brute force password guessing attempts. ,Applicable - Does Not Meet,"Review the container platform to determine if it is configured to enforce the limit of three consecutive invalid logon attempts by a user during a 15-minute time period.

If the container platform is not configured to enforce the limit of three consecutive invalid logon attempts by a user during a 15-minute time period, this is a finding.",,Configure the container platform to enforce the limit of three consecutive invalid logon attempts by a user during a 15-minute time period.,,CAT II,Use external identity providers that enforce invalid logon policies.,https://docs.twistlock.com/docs/compute_edition/authentication/authentication.html,
AC-8 a,CCI-000048,SRG-APP-000068-CTR-000120,,The container platform must display the Standard Mandatory DoD Notice and Consent Banner before granting access to platform components.,Prisma Cloud Compute must display a logon consent banner. ,"The container platform has countless components where different access levels are needed. To control access, the user must first log in to the component and then be presented with a DoD-approved use notification banner before granting access to the component. This guarantees privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",Users must acknowledge a consent to use a Government operated instance of Prisma Cloud Compute,Applicable - Does Not Meet,"Review the container platform configuration to determine if the Standard Mandatory DoD Notice and Consent Banner is configured to be displayed before granting access to platform components. 

Log in to the container platform components and verify that the Standard Mandatory DoD  Notice and Consent Banner is being displayed before granting access.

If the Standard Mandatory DoD Notice and Consent Banner is not configured or is not displayed before granting access to container platform components, this is a finding.",,Configure the container platform to display the Standard Mandatory DoD Notice and Consent Banner before granting access to container platform components.,,CAT III,Use external identity providers that display logon banner (e.g. SAML IdP).,,
AC-8 b,CCI-000050,SRG-APP-000069-CTR-000125,,The container platform must retain the Standard Mandatory DoD Notice and Consent Banner on the screen until users acknowledge the usage and conditions and take explicit actions to log on for further access.,Prisma Cloud Compute must display a logon consent banner and require explicit user action to acknowledge the banner. ,"The banner must be acknowledged by the user prior to allowing the user access to any container platform component. This provides assurance that the user has seen the message and accepted the conditions for access. If the consent banner is not acknowledged by the user, DoD will not be in compliance with system use notifications required by law. 

To establish acceptance of the application usage policy, a click-through banner at application logon is required. The application must prevent further activity until the user executes a positive action to manifest agreement by clicking on a box indicating ""OK"".",Users must acknowledge a consent to use a Government operated instance of Prisma Cloud Compute by requiring user action.,Applicable - Does Not Meet,"Log in to the container platform components to determine if the Standard Mandatory DoD Notice and Consent Banner remains on the screen until users acknowledge the usage and conditions and take explicit actions to log on for further access. 

If the Standard Mandatory DoD Notice and Consent Banner does not stay on the screen until the users acknowledge the usage and conditions, this is a finding.",,Configure the container platform to retain the Standard Mandatory DoD Notice and Consent Banner on the screen until users acknowledge the usage and conditions and take explicit actions to log on for further access.,,CAT III,Use external identity providers that display logon banner and require acknowledgement.,,
AU-12 a,CCI-000169,SRG-APP-000089-CTR-000150,,The container platform must generate audit records for all DoD-defined auditable events within all components in the platform.,Prisma Cloud Compute must generate DoD-defined auditable events ,"Within the container platform, audit data can be generated from any of the deployed container platform components. This audit data is important when there are issues, including security incidents that must be investigated. To make the audit data worthwhile for the investigation of events, it is necessary to have the appropriate and required data logged. To handle the need to log DoD-defined auditable events, the container platform must offer a mechanism to change and manage the events that are audited.","

Prisma Cloud Compute creates and stores audit event records (audits) for all major subsystems. Audits can be reviewed in Monitor -Events, or they can be retrieved from the Prisma Cloud API.",Applicable - Inherently Meets,"Review the container platform configuration to determine if the container platform is configured to generate audit records for all DoD-defined auditable events within all components in the platform. 

Generate DoD-defined auditable events within all the components to determine if the events are being audited. 

If the container platform is not configured to generate audit records for all DoD-defined auditable events within the components or the events are  not generating audit records, this is a finding.",,Configure the container platform to generate audit records for all DoD-defined auditable events within all the components of the container platform.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/audit/audit.html,Generate activity on the Prisma Cloud Compute platform. Navigate to Manage -View Logs -Console and select “Download this log” and “Download debug logs” and inspect the content of the logs. To view Defender logs navigate to Manage -Defenders -Manage -Defenders for each Defender click “…” in Actions and select Logs. Select “Download this log” and inspect the content of the log. If the log does not contain a record of the event this is a bug. Contact Palo Alto Networks to notify them of the observed behavior.
AU-12 b,CCI-000171,SRG-APP-000090-CTR-000155,,The container platform must allow only the ISSM (or individuals or roles appointed by the ISSM) to select which auditable events are to be audited.,Prisma Cloud Compute auditable event must be selectable,"Without the capability to restrict which roles and individuals can select which events are audited, unauthorized personnel may be able to prevent the auditing of critical events. Misconfigured audits may degrade the system's performance by overwhelming the audit log. Misconfigured audits may also make it more difficult to establish, correlate, and investigate the events relating to an incident, or identify those responsible for one.
 
The list of audited events is the set of events for which audits are to be generated. This set of events is typically a subset of the list of all events for which the system is capable of generating audit records.",,Not Applicable,"Review the container platform to determine if the container platform is configured to allow only the ISSM (or individuals or roles appointed by the ISSM) to select which auditable events are to be audited. 

If the container platform is not configured to only allow the ISSM (or individuals or roles appointed by the ISSM) to select which auditable events are to be audited, this is a finding.",,Configure the container platform to only allow the ISSM (or individuals or roles appointed by the ISSM) to select which auditable events are to be audited.,"

 ",CAT II,,https://docs.twistlock.com/docs/compute_edition/alerts/alerts.html,"Prisma Cloud Compute creates and stores audit event records (audits) for all major subsystems. Prisma Cloud Compute Alert feature (https://docs.twistlock.com/docs/compute_edition/alerts/alerts.html) can send certain audit type to selected recipients ensuring the responsible individuals are notified. 

Which events Prisma Cloud Compute audits are not modifiable."
AU-12 c,CCI-000172,SRG-APP-000091-CTR-000160,,The container platform must generate audit records when successful/unsuccessful attempts to access privileges occur.,Prisma Cloud Compute successful/unsuccessful privilege access activities must be audited,"Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident, or identify those responsible for one.

Audit records can be generated from various components within the information system (e.g., module or policy filter).",All privileged access attempts must be audited for accountability.,Applicable - Inherently Meets,"Review the container platform configuration to determine if it is configured to generate audit records when successful/unsuccessful attempts are made to access privileges. 

If the container platform is not configured to generate audit records on successful/unsuccessful access to privileges, this is a finding.",,Configure the container platform to generate audit records when successful/unsuccessful attempts are made to access privileges occur.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/audit/audit_admin_activity.html,"Prisma Cloud Compute user interface will not render higher role privileged functions to user. To test attempt to call an API endpoint that requires a higher privilege than the user account used. If the user is able to obtain the data for a higher role holder, this is a finding."
AU-14 (1),CCI-001464,SRG-APP-000092-CTR-000165,,The container platform must initiate session auditing upon startup.,Prisma Cloud Compute must begin auditing upon application start.,"When the container platform is started, container platform components and user services can also be started. It is important that the container platform begin auditing on startup in order to handle container platform startup events along with events for container platform components and services that begin on startup.",Event logging occurs at application start time.,Applicable - Inherently Meets,"Review the container platform configuration for session audits. 

Ensure audit policy for session logging at startup is enabled. 

Verify events are written to the log. 

Validate system documentation is current. 

If the container platform is not configured to meet this requirement, this is a finding.",,Configure the container platform to generate audit logs for session logging at startup. Revise all applicable system documentation.,,CAT II,,,Navigate to Prisma Cloud Compute Console’s -Manage -View Logs -Console and select “Download this log” and review the log’s initial entries. If the log does not contain server initiation look in the Console container’s /var/lib/twistlock/logs/console directory for archived logs. 
AU-3,CCI-000130,SRG-APP-000095-CTR-000170,,All audit records must identify what type of event has occurred within the container platform.,Prisma Cloud Compute audit must contain the component information within the audit,"Within the container platform, audit data can be generated from any of the deployed container platform components. This audit data is important when there are issues, such as security incidents, that must be investigated. To make the audit data worthwhile for the investigation of events, it is necessary to know what type of event occurred.",All audits are identifiable based upon the sub-system origin of the audit. ,Applicable - Inherently Meets,"Review the container platform configuration for audit event types. Ensure audit policy for event type is enabled. 

Verify records showing what type of event occurred are written to the log. 

Validate system documentation is current. 

If log data does not show the type of event, this is a finding.",,Configure the container platform to include the event type in the log data. Revise all applicable system documentation.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/audit/logging.html,I recommend for customers using this STIG is to enable host node Syslog integration  https://docs.twistlock.com/docs/compute_edition/audit/logging.html
AU-3,CCI-000131,SRG-APP-000096-CTR-000175,,The container platform audit records must have a date and time association with all events.,Prisma Cloud Compute system clock must be coordinated.,"Within the container platform, audit data can be generated from any of the deployed container platform components. This audit data is important when there are issues, such as security incidents, that must be investigated. To make the audit data worthwhile for the investigation of events, it is necessary to know when the event occurred. To establish the time of the event, the audit record must contain the date and time.",All Prisma Cloud Compute audits are timestamped using Coordinated Universal Time (UTC),Applicable - Inherently Meets,"Review the container platform configuration for audit events date and time. 

Ensure audit policy for event date and time are enabled. 

Verify records showing event date and time are included in the log. 

Validate system documentation is current. 

If the date and time are not included, this is a finding.",,Configure the container platform to include log date and time with the event. Revise all applicable system documentation.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/audit/audit.html,
