Tag,Id,Distro,CVE ID,Type,Severity,Packages,Source Package,Package Version,Package License,CVSS,Fix Status,Description,Cause,Published,Vulnerability Link
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-36084,OS,moderate,libsepol,,2.9-2.el8,LGPLv2+,3.3,affected,The CIL compiler in SELinux 3.2 has a use-after-free in __cil_verify_classperms (called from __cil_verify_classpermission and __cil_pre_verify_helper).,,2021-07-01 03:15:00.000,https://access.redhat.com/security/cve/CVE-2021-36084
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-33560,OS,moderate,libgcrypt,,1.8.5-4.el8,LGPLv2+,7.5,affected,"Libgcrypt before 1.8.8 and 1.9.x before 1.9.3 mishandles ElGamal encryption because it lacks exponent blinding to address a side-channel attack against mpi_powm, and the window size is not chosen appropriately. This, for example, affects use of ElGamal in OpenPGP.",,2021-06-08 11:15:00.000,https://access.redhat.com/security/cve/CVE-2021-33560
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2020-14155,OS,low,pcre,,8.42-4.el8,BSD,5.3,affected,libpcre in PCRE before 8.44 allows an integer overflow via a large number after a,,2020-06-15 17:15:00.000,https://access.redhat.com/security/cve/CVE-2020-14155
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2019-20838,OS,low,pcre,,8.42-4.el8,BSD,7.5,affected,"libpcre in PCRE before 8.43 allows a subject buffer over-read in JIT when UTF is disabled, and \\X or \\R has more than one fixed quantifier, a related issue to CVE-2019-20454.",,2020-06-15 17:15:00.000,https://access.redhat.com/security/cve/CVE-2019-20838
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2018-1000879,OS,unimportant,libarchive,,3.3.3-1.el8,BSD,3.3,will not fix,"libarchive version commit 379867ecb330b3a952fb7bfa7bffb7bbd5547205 onwards (release v3.3.0 onwards) contains a CWE-476: NULL Pointer Dereference vulnerability in ACL parser - libarchive/archive_acl.c, archive_acl_from_text_l() that can result in Crash/DoS. This attack appear to be exploitable via the victim must open a specially crafted archive file.",,2018-12-20 17:29:00.000,https://access.redhat.com/security/cve/CVE-2018-1000879
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2018-1000880,OS,unimportant,libarchive,,3.3.3-1.el8,BSD,3.3,will not fix,"libarchive version commit 9693801580c0cf7c70e862d305270a16b52826a7 onwards (release v3.2.0 onwards) contains a CWE-20: Improper Input Validation vulnerability in WARC parser - libarchive/archive_read_support_format_warc.c, _warc_read() that can result in DoS - quasi-infinite run time and disk usage from tiny file. This attack appear to be exploitable via the victim must open a specially crafted WARC file.",,2018-12-20 17:29:00.000,https://access.redhat.com/security/cve/CVE-2018-1000880
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-20232,OS,moderate,gnutls,,3.6.14-8.el8_3,GPLv3+ and LGPLv2+,3.7,affected,A flaw was found in gnutls. A use after free issue in client_send_params in lib/ext/pre_shared_key.c may lead to memory corruption and other potential consequences.,,2021-03-12 19:15:00.000,https://access.redhat.com/security/cve/CVE-2021-20232
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-20231,OS,moderate,gnutls,,3.6.14-8.el8_3,GPLv3+ and LGPLv2+,3.7,affected,A flaw was found in gnutls. A use after free issue in client sending key_share extension may lead to memory corruption and other consequences.,,2021-03-12 19:15:00.000,https://access.redhat.com/security/cve/CVE-2021-20231
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-20266,OS,low,rpm,,4.14.3-14.el8_4,GPLv2+,3.1,affected,A flaw was found in RPM\'s hdrblobInit() in lib/header.c. This flaw allows an attacker who can modify the rpmdb to cause an out-of-bounds read. The highest threat from this vulnerability is to system availability.,,2021-04-30 12:15:00.000,https://access.redhat.com/security/cve/CVE-2021-20266
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-22898,OS,low,curl,,7.61.1-18.el8_4.1,MIT,3.1,affected,"curl 7.7 through 7.76.1 suffers from an information disclosure when the `-t` command line option, known as `CURLOPT_TELNETOPTIONS` in libcurl, is used to send variable=content pairs to TELNET servers. Due to a flaw in the option parser for sending NEW_ENV variables, libcurl could be made to pass on uninitialized data from a stack based buffer to the server, resulting in potentially revealing sensitive internal information to the server using a clear-text network protocol.",,2021-06-11 16:15:00.000,https://access.redhat.com/security/cve/CVE-2021-22898
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-22876,OS,moderate,curl,,7.61.1-18.el8_4.1,MIT,3.7,affected,"curl 7.1.1 to and including 7.75.0 is vulnerable to an \""Exposure of Private Personal Information to an Unauthorized Actor\"" by leaking credentials in the HTTP Referer: header. libcurl does not strip off user credentials from the URL when automatically populating the Referer: HTTP request header field in outgoing HTTP requests, and therefore risks leaking sensitive data to the server that is the target of the second HTTP request.",,2021-04-01 18:15:00.000,https://access.redhat.com/security/cve/CVE-2021-22876
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-22925,OS,low,curl,,7.61.1-18.el8_4.1,MIT,3.1,affected,"curl supports the `-t` command line option, known as `CURLOPT_TELNETOPTIONS`in libcurl. This rarely used option is used to send variable=content pairs toTELNET servers.Due to flaw in the option parser for sending `NEW_ENV` variables, libcurlcould be made to pass on uninitialized data from a stack based buffer to theserver. Therefore potentially revealing sensitive internal information to theserver using a clear-text network protocol.This could happen because curl did not call and use sscanf() correctly whenparsing the string provided by the application.",,2021-08-05 21:15:00.000,https://access.redhat.com/security/cve/CVE-2021-22925
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-22947,OS,moderate,curl,,7.61.1-18.el8_4.1,MIT,6.1,affected,"When curl >= 7.20.0 and <= 7.78.0 connects to an IMAP or POP3 server to retrieve data using STARTTLS to upgrade to TLS security, the server can respond and send back multiple responses at once that curl caches. curl would then upgrade to TLS but not flush the in-queue of cached responses but instead continue using and trustingthe responses it got *before* the TLS handshake as if they were authenticated.Using this flaw, it allows a Man-In-The-Middle attacker to first inject the fake responses, then pass-through the TLS traffic from the legitimate server and trick curl into sending data back to the user thinking the attacker\'s injected data comes from the TLS-protected server.",,2021-09-29 20:15:00.000,https://access.redhat.com/security/cve/CVE-2021-22947
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-22946,OS,moderate,curl,,7.61.1-18.el8_4.1,MIT,7.5,affected,"A user can tell curl >= 7.20.0 and <= 7.78.0 to require a successful upgrade to TLS when speaking to an IMAP, POP3 or FTP server (`--ssl-reqd` on the command line or`CURLOPT_USE_SSL` set to `CURLUSESSL_CONTROL` or `CURLUSESSL_ALL` withlibcurl). This requirement could be bypassed if the server would return a properly crafted but perfectly legitimate response.This flaw would then make curl silently continue its operations **withoutTLS** contrary to the instructions and expectations, exposing possibly sensitive data in clear text over the network.",,2021-09-29 20:15:00.000,https://access.redhat.com/security/cve/CVE-2021-22946
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-20193,OS,unimportant,tar,,1.30-5.el8,GPLv3+,3.3,will not fix,A flaw was found in the src/list.c of tar 1.33 and earlier. This flaw allows an attacker who can submit a crafted input file to tar to cause uncontrolled consumption of memory. The highest threat from this vulnerability is to system availability.,,2021-03-26 17:15:00.000,https://access.redhat.com/security/cve/CVE-2021-20193
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2019-9923,OS,unimportant,tar,,1.30-5.el8,GPLv3+,3.3,will not fix,pax_decode_header in sparse.c in GNU Tar before 1.32 had a NULL pointer dereference when parsing certain archives that have malformed extended headers.,,2019-03-22 08:29:00.000,https://access.redhat.com/security/cve/CVE-2019-9923
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-23841,OS,moderate,openssl,,1.1.1g-15.el8_3,OpenSSL and ASL 2.0,5.9,affected,The OpenSSL public API function X509_issuer_and_serial_hash() attempts to create a unique hash value based on the issuer and serial number data contained within an X509 certificate. However it fails to correctly handle any errors that may occur while parsing the issuer field (which might occur if the issuer field is maliciously constructed). This may subsequently result in a NULL pointer deref and a crash leading to a potential denial of service attack. The function X509_issuer_and_serial_hash() is never directly called by OpenSSL itself so applications are only vulnerable if they use this function directly and they use it on certificates that may have been obtained from untrusted sources. OpenSSL versions 1.1.1i and below are affected by this issue. Users of these versions should upgrade to OpenSSL 1.1.1j. OpenSSL versions 1.0.2x and below are affected by this issue. However OpenSSL 1.0.2 is out of support and no longer receiving public updates. Premium support customers of OpenSSL 1.0.2 should upgrade to 1.0.2y. Other users should upgrade to 1.1.1j. Fixed in OpenSSL 1.1.1j (Affected 1.1.1-1.1.1i). Fixed in OpenSSL 1.0.2y (Affected 1.0.2-1.0.2x).,,2021-02-16 17:15:00.000,https://access.redhat.com/security/cve/CVE-2021-23841
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-23840,OS,moderate,openssl,,1.1.1g-15.el8_3,OpenSSL and ASL 2.0,7.5,affected,"Calls to EVP_CipherUpdate, EVP_EncryptUpdate and EVP_DecryptUpdate may overflow the output length argument in some cases where the input length is close to the maximum permissable length for an integer on the platform. In such cases the return value from the function call will be 1 (indicating success), but the output length value will be negative. This could cause applications to behave incorrectly or crash. OpenSSL versions 1.1.1i and below are affected by this issue. Users of these versions should upgrade to OpenSSL 1.1.1j. OpenSSL versions 1.0.2x and below are affected by this issue. However OpenSSL 1.0.2 is out of support and no longer receiving public updates. Premium support customers of OpenSSL 1.0.2 should upgrade to 1.0.2y. Other users should upgrade to 1.1.1j. Fixed in OpenSSL 1.1.1j (Affected 1.1.1-1.1.1i). Fixed in OpenSSL 1.0.2y (Affected 1.0.2-1.0.2x).",,2021-02-16 17:15:00.000,https://access.redhat.com/security/cve/CVE-2021-23840
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-3712,OS,moderate,openssl,,1.1.1g-15.el8_3,OpenSSL and ASL 2.0,7.4,affected,"ASN.1 strings are represented internally within OpenSSL as an ASN1_STRING structure which contains a buffer holding the string data and a field holding the buffer length. This contrasts with normal C strings which are repesented as a buffer for the string data which is terminated with a NUL (0) byte. Although not a strict requirement, ASN.1 strings that are parsed using OpenSSL\'s own \""d2i\"" functions (and other similar parsing functions) as well as any string whose value has been set with the ASN1_STRING_set() function will additionally NUL terminate the byte array in the ASN1_STRING structure. However, it is possible for applications to directly construct valid ASN1_STRING structures which do not NUL terminate the byte array by directly setting the \""data\"" and \""length\"" fields in the ASN1_STRING array. This can also happen by using the ASN1_STRING_set0() function. Numerous OpenSSL functions that print ASN.1 data have been found to assume that the ASN1_STRING byte array will be NUL terminated, even though this is not guaranteed for strings that have been directly constructed. Where an application requests an ASN.1 structure to be printed, and where that ASN.1 structure contains ASN1_STRINGs that have been directly constructed by the application without NUL terminating the \""data\"" field, then a read buffer overrun can occur. The same thing can also occur during name constraints proc",,2021-08-24 15:15:00.000,https://access.redhat.com/security/cve/CVE-2021-3712
