Tag,Id,Distro,CVE ID,Type,Severity,Packages,Source Package,Package Version,Package License,CVSS,Fix Status,Risk Factors,Description,Cause,Published,Binaries,Vulnerability Link
console_21_04_421,sha256:43b1120f5f800ba7eaab63d057c69ace83270ed9f9e7a0c3555d8554c8f2490a,redhat-RHEL8,CVE-2021-3537,OS,moderate,libxml2,,2.9.7-9.el8,MIT,7.5,affected,"Attack complexity: low, Attack vector: network, Medium severity, Recent vulnerability","A vulnerability found in libxml2 in versions before 2.9.11 shows that it did not propagate errors while parsing XML mixed content, causing a NULL dereference. If an untrusted XML document was parsed in recovery mode and post-validated, the flaw could be used to crash the application. The highest threat from this vulnerability is to system availability.",,2021-05-14 20:15:00.000,,https://access.redhat.com/security/cve/CVE-2021-3537
console_21_04_421,sha256:43b1120f5f800ba7eaab63d057c69ace83270ed9f9e7a0c3555d8554c8f2490a,redhat-RHEL8,CVE-2021-3516,OS,moderate,libxml2,,2.9.7-9.el8,MIT,6.6,affected,"Attack complexity: low, Medium severity, Recent vulnerability","There\'s a flaw in libxml2\'s xmllint in versions before 2.9.11. An attacker who is able to submit a crafted file to be processed by xmllint could trigger a use-after-free. The greatest impact of this flaw is to confidentiality, integrity, and availability.",,2021-06-01 14:15:00.000,,https://access.redhat.com/security/cve/CVE-2021-3516
console_21_04_421,sha256:43b1120f5f800ba7eaab63d057c69ace83270ed9f9e7a0c3555d8554c8f2490a,redhat-RHEL8,CVE-2019-20838,OS,low,pcre,,8.42-4.el8,BSD,7.5,affected,"Attack complexity: low, Attack vector: network","libpcre in PCRE before 8.43 allows a subject buffer over-read in JIT when UTF is disabled, and \\X or \\R has more than one fixed quantifier, a related issue to CVE-2019-20454.",,2020-06-15 17:15:00.000,,https://access.redhat.com/security/cve/CVE-2019-20838
console_21_04_421,sha256:43b1120f5f800ba7eaab63d057c69ace83270ed9f9e7a0c3555d8554c8f2490a,redhat-RHEL8,CVE-2020-14155,OS,low,pcre,,8.42-4.el8,BSD,5.3,affected,"Attack complexity: low, Attack vector: network, Recent vulnerability",libpcre in PCRE before 8.44 allows an integer overflow via a large number after a,,2020-06-15 17:15:00.000,,https://access.redhat.com/security/cve/CVE-2020-14155
console_21_04_421,sha256:43b1120f5f800ba7eaab63d057c69ace83270ed9f9e7a0c3555d8554c8f2490a,redhat-RHEL8,CVE-2018-1000879,OS,unimportant,libarchive,,3.3.3-1.el8,BSD,3.3,will not fix,"Attack complexity: low, DoS","libarchive version commit 379867ecb330b3a952fb7bfa7bffb7bbd5547205 onwards (release v3.3.0 onwards) contains a CWE-476: NULL Pointer Dereference vulnerability in ACL parser - libarchive/archive_acl.c, archive_acl_from_text_l() that can result in Crash/DoS. This attack appear to be exploitable via the victim must open a specially crafted archive file.",,2018-12-20 17:29:00.000,,https://access.redhat.com/security/cve/CVE-2018-1000879
console_21_04_421,sha256:43b1120f5f800ba7eaab63d057c69ace83270ed9f9e7a0c3555d8554c8f2490a,redhat-RHEL8,CVE-2018-1000880,OS,unimportant,libarchive,,3.3.3-1.el8,BSD,3.3,will not fix,"Attack complexity: low, DoS","libarchive version commit 9693801580c0cf7c70e862d305270a16b52826a7 onwards (release v3.2.0 onwards) contains a CWE-20: Improper Input Validation vulnerability in WARC parser - libarchive/archive_read_support_format_warc.c, _warc_read() that can result in DoS - quasi-infinite run time and disk usage from tiny file. This attack appear to be exploitable via the victim must open a specially crafted WARC file.",,2018-12-20 17:29:00.000,,https://access.redhat.com/security/cve/CVE-2018-1000880
console_21_04_421,sha256:43b1120f5f800ba7eaab63d057c69ace83270ed9f9e7a0c3555d8554c8f2490a,redhat-RHEL8,CVE-2021-20231,OS,moderate,gnutls,,3.6.14-8.el8_3,GPLv3+ and LGPLv2+,3.7,affected,"Attack vector: network, Medium severity, Recent vulnerability",A flaw was found in gnutls. A use after free issue in client sending key_share extension may lead to memory corruption and other consequences.,,2021-03-12 19:15:00.000,,https://access.redhat.com/security/cve/CVE-2021-20231
console_21_04_421,sha256:43b1120f5f800ba7eaab63d057c69ace83270ed9f9e7a0c3555d8554c8f2490a,redhat-RHEL8,CVE-2021-20232,OS,moderate,gnutls,,3.6.14-8.el8_3,GPLv3+ and LGPLv2+,3.7,affected,"Attack vector: network, Medium severity, Recent vulnerability",A flaw was found in gnutls. A use after free issue in client_send_params in lib/ext/pre_shared_key.c may lead to memory corruption and other potential consequences.,,2021-03-12 19:15:00.000,,https://access.redhat.com/security/cve/CVE-2021-20232
console_21_04_421,sha256:43b1120f5f800ba7eaab63d057c69ace83270ed9f9e7a0c3555d8554c8f2490a,redhat-RHEL8,CVE-2021-3421,OS,moderate,rpm,,4.14.3-13.el8,GPLv2+,4.7,affected,"Medium severity, Recent vulnerability","A flaw was found in the RPM package in the read functionality. This flaw allows an attacker who can convince a victim to install a seemingly verifiable package or compromise an RPM repository, to cause RPM database corruption. The highest threat from this vulnerability is to data integrity. This flaw affects RPM versions before 4.17.0-alpha.",,2021-05-19 14:15:00.000,,https://access.redhat.com/security/cve/CVE-2021-3421
console_21_04_421,sha256:43b1120f5f800ba7eaab63d057c69ace83270ed9f9e7a0c3555d8554c8f2490a,redhat-RHEL8,CVE-2021-20266,OS,low,rpm,,4.14.3-13.el8,GPLv2+,3.1,affected,"Attack vector: network, Recent vulnerability",A flaw was found in RPM\'s hdrblobInit() in lib/header.c. This flaw allows an attacker who can modify the rpmdb to cause an out-of-bounds read. The highest threat from this vulnerability is to system availability.,,2021-04-30 12:15:00.000,,https://access.redhat.com/security/cve/CVE-2021-20266
