Tag,Id,Distro,CVE ID,Type,Severity,Packages,Source Package,Package Version,Package License,CVSS,Fix Status,Risk Factors,Description,Cause,Published,Vulnerability Link
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2021-3517,OS,moderate,libxml2,,2.9.7-9.el8,MIT,8.6,fixed in 2.9.7-9.el8_4.2,"Attack complexity: low, Attack vector: network, Has fix, Medium severity, Recent vulnerability","There is a flaw in the xml entity encoding functionality of libxml2 in versions before 2.9.11. An attacker who is able to supply a crafted file to be processed by an application linked with the affected functionality of libxml2 could trigger an out-of-bounds read. The most likely impact of this flaw is to application availability, with some potential impact to confidentiality and integrity if an attacker is able to use memory information to further exploit the application.",,2021-05-19 14:15:00.000,https://access.redhat.com/security/cve/CVE-2021-3517
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2021-3518,OS,moderate,libxml2,,2.9.7-9.el8,MIT,8.6,fixed in 2.9.7-9.el8_4.2,"Attack complexity: low, Attack vector: network, Has fix, Medium severity, Recent vulnerability","There\'s a flaw in libxml2 in versions before 2.9.11. An attacker who is able to submit a crafted file to be processed by an application linked with libxml2 could trigger a use-after-free. The greatest impact from this flaw is to confidentiality, integrity, and availability.",,2021-05-18 12:15:00.000,https://access.redhat.com/security/cve/CVE-2021-3518
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2021-3537,OS,moderate,libxml2,,2.9.7-9.el8,MIT,7.5,fixed in 2.9.7-9.el8_4.2,"Attack complexity: low, Attack vector: network, Has fix, Medium severity, Recent vulnerability","A vulnerability found in libxml2 in versions before 2.9.11 shows that it did not propagate errors while parsing XML mixed content, causing a NULL dereference. If an untrusted XML document was parsed in recovery mode and post-validated, the flaw could be used to crash the application. The highest threat from this vulnerability is to system availability.",,2021-05-14 20:15:00.000,https://access.redhat.com/security/cve/CVE-2021-3537
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2021-3541,OS,moderate,libxml2,,2.9.7-9.el8,MIT,6.5,fixed in 2.9.7-9.el8_4.2,"Attack complexity: low, Attack vector: network, DoS, Has fix, Medium severity, Recent vulnerability",A flaw was found in libxml2. Exponential entity expansion attack its possible bypassing all existing protection mechanisms and leading to denial of service.,,2021-07-09 17:15:00.000,https://access.redhat.com/security/cve/CVE-2021-3541
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2021-33560,OS,moderate,libgcrypt,,1.8.5-4.el8,LGPLv2+,7.5,affected,"Attack complexity: low, Attack vector: network, Medium severity, Recent vulnerability","Libgcrypt before 1.8.8 and 1.9.x before 1.9.3 mishandles ElGamal encryption because it lacks exponent blinding to address a side-channel attack against mpi_powm, and the window size is not chosen appropriately. (There is also an interoperability problem because the selection of the k integer value does not properly consider the differences between basic ElGamal encryption and generalized ElGamal encryption.) This, for example, affects use of ElGamal in OpenPGP.",,2021-06-08 11:15:00.000,https://access.redhat.com/security/cve/CVE-2021-33560
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2019-20838,OS,low,pcre,,8.42-4.el8,BSD,7.5,affected,"Attack complexity: low, Attack vector: network","libpcre in PCRE before 8.43 allows a subject buffer over-read in JIT when UTF is disabled, and \\X or \\R has more than one fixed quantifier, a related issue to CVE-2019-20454.",,2020-06-15 17:15:00.000,https://access.redhat.com/security/cve/CVE-2019-20838
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2020-14155,OS,low,pcre,,8.42-4.el8,BSD,5.3,affected,"Attack complexity: low, Attack vector: network, Recent vulnerability",libpcre in PCRE before 8.44 allows an integer overflow via a large number after a,,2020-06-15 17:15:00.000,https://access.redhat.com/security/cve/CVE-2020-14155
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2018-1000879,OS,unimportant,libarchive,,3.3.3-1.el8,BSD,3.3,will not fix,"Attack complexity: low, DoS","libarchive version commit 379867ecb330b3a952fb7bfa7bffb7bbd5547205 onwards (release v3.3.0 onwards) contains a CWE-476: NULL Pointer Dereference vulnerability in ACL parser - libarchive/archive_acl.c, archive_acl_from_text_l() that can result in Crash/DoS. This attack appear to be exploitable via the victim must open a specially crafted archive file.",,2018-12-20 17:29:00.000,https://access.redhat.com/security/cve/CVE-2018-1000879
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2018-1000880,OS,unimportant,libarchive,,3.3.3-1.el8,BSD,3.3,will not fix,"Attack complexity: low, DoS","libarchive version commit 9693801580c0cf7c70e862d305270a16b52826a7 onwards (release v3.2.0 onwards) contains a CWE-20: Improper Input Validation vulnerability in WARC parser - libarchive/archive_read_support_format_warc.c, _warc_read() that can result in DoS - quasi-infinite run time and disk usage from tiny file. This attack appear to be exploitable via the victim must open a specially crafted WARC file.",,2018-12-20 17:29:00.000,https://access.redhat.com/security/cve/CVE-2018-1000880
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2021-20231,OS,moderate,gnutls,,3.6.14-8.el8_3,GPLv3+ and LGPLv2+,3.7,affected,"Attack vector: network, Medium severity, Recent vulnerability",A flaw was found in gnutls. A use after free issue in client sending key_share extension may lead to memory corruption and other consequences.,,2021-03-12 19:15:00.000,https://access.redhat.com/security/cve/CVE-2021-20231
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2021-20232,OS,moderate,gnutls,,3.6.14-8.el8_3,GPLv3+ and LGPLv2+,3.7,affected,"Attack vector: network, Medium severity, Recent vulnerability",A flaw was found in gnutls. A use after free issue in client_send_params in lib/ext/pre_shared_key.c may lead to memory corruption and other potential consequences.,,2021-03-12 19:15:00.000,https://access.redhat.com/security/cve/CVE-2021-20232
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2021-20266,OS,low,rpm,,4.14.3-13.el8,GPLv2+,3.1,affected,"Attack vector: network, Recent vulnerability",A flaw was found in RPM\'s hdrblobInit() in lib/header.c. This flaw allows an attacker who can modify the rpmdb to cause an out-of-bounds read. The highest threat from this vulnerability is to system availability.,,2021-04-30 12:15:00.000,https://access.redhat.com/security/cve/CVE-2021-20266
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2021-20271,OS,moderate,rpm,,4.14.3-13.el8,GPLv2+,6.7,fixed in 4.14.3-14.el8_4,"Has fix, Medium severity, Recent vulnerability","A flaw was found in RPM\'s signature check functionality when reading a package file. This flaw allows an attacker who can convince a victim to install a seemingly verifiable package, whose signature header was modified, to cause RPM database corruption and execute code. The highest threat from this vulnerability is to data integrity, confidentiality, and system availability.",,2021-03-26 17:15:00.000,https://access.redhat.com/security/cve/CVE-2021-20271
defender_21_04_439,sha256:8d82e2c21c33e1ffb37ea901d18df15c08123258609e6d7c4aecc7fb4a5a8738,redhat-RHEL8,CVE-2021-3421,OS,moderate,rpm,,4.14.3-13.el8,GPLv2+,4.7,affected,"Medium severity, Recent vulnerability","A flaw was found in the RPM package in the read functionality. This flaw allows an attacker who can convince a victim to install a seemingly verifiable package or compromise an RPM repository, to cause RPM database corruption. The highest threat from this vulnerability is to data integrity. This flaw affects RPM versions before 4.17.0-alpha.",,2021-05-19 14:15:00.000,https://access.redhat.com/security/cve/CVE-2021-3421
