Control,Twistlock Feature,Twistlock Sub-Feature,Console UI Location,Twistlock API,Values,NIST SP800-53 Control ,ISO/IEC 27001 AND 15408,Cybersecurity Framework Version 1.1,NCCoE SP1800-19,FedRAMP,Notes,Twistlock Docs
,Firewall (layer 3),Cloud Native Network Firewall - Hosts,Defend > Firewalls > CNNF for Host,api/v1/policies/firewall/network/host,Disable | Alert ,AC-4 Information Flow Enforcement - Moderate,,"PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)",,AC-4 Information Flow Enforcement - Moderate,"Twistlock Runtime modeling will learn host to host TCP traffic. These ""whitelisted"" communications can be added to within this configuration. Host CNNF supports Alerting",https://docs.twistlock.com/docs/latest/firewalls/cnnf.html#overview
,Twistlock Intelligence Stream ,Anonymously report threats and vulnerabilities to Twistlock,Manage > System > Intelligence,/api/v1/status/intelligence,on|off,,,,,,Customer's Twistlock Console automatically establishes a secure web socket session that authenticates with license access token to receive up-to-date vulnerability and threat information. Supports offline environments. ,https://docs.twistlock.com/docs/latest/tools/update_intel_stream_offline.html
,Istio Monitoring ,Monitor the configuration of an Istio mesh,System > Manage > Defenders > Deploy Daemon Set,,Monitor Istio = On,,,,,,Twistlock will query the Istio mesh configuration for container to container communication ,
,Firewall (layer 7),Cloud Native Application Firewall - Container,Defend > Firewalls > Cloud Native App Firewall,/api/v1/policies/firewall/app/container,Disable | Alert | Prevent,AC-4 Information Flow Enforcement - Moderate,,,,AC-4 Information Flow Enforcement - Moderate,Twistlock Layer 7 Web Application Firewall (WAF) for containers  using the Defender running as a container on the same node as the destination container.,https://docs.twistlock.com/docs/latest/firewalls/cnaf.html
,Firewall (layer 7),Cloud Native Application Firewall - RASP,Defend > Firewalls > CNAF for RASP,/api/v1/policies/firewall/app/rasp,Disable | Alert | Prevent,AC-4 Information Flow Enforcement - Moderate,,,,AC-4 Information Flow Enforcement - Moderate,Twistlock Layer 7 Web Application Firewall (WAF) within containers using the RASP Defender  ,https://docs.twistlock.com/docs/latest/firewalls/cnaf.html
,Firewall (layer 7),Cloud Native Application Firewall - Host,Defender > Firewalls > CNAF for Hosts,/api/v1/policies/firewall/app/host,Disable | Alert | Prevent,AC-4 Information Flow Enforcement - Moderate,,,,AC-4 Information Flow Enforcement - Moderate,Twistlock Layer 7 Web Application Firewall (WAF) for hosts using the Host Defenders (Docker based Defender and System Service Defender).  ,https://docs.twistlock.com/docs/latest/firewalls/cnaf.html
,|,,,,,,,,,,,
"AC - 5: Separation of Duties
",,,,,,"https://nvd.nist.gov/800-53/Rev4/control/AC-5
",,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",,,,
,Access Control,User Roles,Manage > Authentication > Users,/api/v1/users,Administrator | Operator | Defender Manager | Auditor | Dev Ops User | Access User | CI User,"AC - 5 Separation of Duties - Moderate
AC -6 Least Privileged - Moderate",,,,AC - 5 Separation of Duties - Moderate,All Twistlock users are assigned a role,https://docs.twistlock.com/docs/latest/access_control/user_roles.html
,Access Control,Assign Roles,Manage > Authentication > Groups,/api/v1/groups,Administrator | Operator | Defender Manager | Auditor | Dev Ops User | Access User | CI User,AC - 5 Separation of Duties - Moderate,,,,AC - 5 Separation of Duties - Moderate,"Twistlock role mapping for Active Directory, OpenLDAP and SAML based groups can be applied",https://docs.twistlock.com/docs/latest/access_control/assign_roles.html
,Projects,Tenant Project,System > Projects,/api/v1/settings/projects,Tenant Project ,AC - 5 Separation of Duties - Moderate,,,,AC - 5 Separation of Duties - Moderate,"Centrally defined role-based access control, but have sub-groups own rules and configurations. Tiered instances of Twistlock.",https://docs.twistlock.com/docs/latest/deployment_patterns/projects.html
,|,,,,,,,,,,,
AC - 6: Least Privileged,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AC-6,,,,,,
,Runtime Defense ,Host Policy,Defend > Runtime > Host Policy : Activities,/api/v1/policies/runtime/host,Disable | Alert | Prevent,AC -6 Least Privileged,,,,AC -6 Least Privileged,"Monitor host level activities: general user activities, docker commands, sshd and sudo",https://docs.twistlock.com/docs/latest/runtime_defense/runtime_defense_hosts.html
,Runtime Defense ,Container Policy,Defend > Runtime > Container Policy ,/api/v1/policies/runtime/container,Disable | Alert | Prevent,AC -6 Least Privileged,,,,AC -6 Least Privileged,"Twistlock automatically models container runtime behaviors (process, file system, network and system calls) and creates a whitelist of behaviors for every image. Global policies can be applied to all containers or a subset of containers",https://docs.twistlock.com/docs/latest/runtime_defense/runtime_defense.html
,|,,,,,,,,,,,
AC - 7: Unsuccessful Logon Attempts,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AC-7,,,,,,
,Authentication,No local account with Twistlock database stored password,Manage > Authentication > Users,/api/v1/users,Basic | SAML | LDAP,,,,,,"Recommend using Active Directory, OpenLDAP, SAML or x.509 based authentication methods to leverage existing IDMgmt authentication attempts throttling controls. ",
,|,,,,,,,,,,,
AC - 8: System Use Notification,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AC-8,,,,,,
,,,,,,,,,,,"Displays to users [Assignment: organization-defined system use notification message or banner] before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that","Future feature, GH Issue #10039"
,|,,,,,,,,,,,
AC - 12: Session Termination,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AC-12,,,,,,
,Logout,All Twistlock Console user interface screens has a user logout icon,,,,,,,,,"User icon in the top right corner has a ""Log out"" action",
,|,,,,,,,,,,,
AC - 14: Permitted Actions without Identification or Authentication,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AC-14,,,,,,
,Authentication,,,,,,,,,,All Twistlock access requires authentication,
,|,,,,,,,,,,,
AC - 17: Remote Access,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AC-17,,,,,Twistlock can be deployed in a completely offline environment,https://docs.twistlock.com/docs/latest/tools/update_intel_stream_offline.html
,Logging,Console Logs,Manage > View Logs > Console ,/api/v1/audits/mgmt,,AC-17 (1) Automated monitoring ,,,,AC-17 (1) Automated monitoring ,Logging within Twistlock Console is automatic and cannot be disabled ,https://docs.twistlock.com/docs/latest/audit/audit_admin_activity.html
,Authentication,Console Authentication,Manage > Authentication > System Certificates : Advanced  certificate configuration,/api/v1/settings/certificates,Console TLS certificate and keys upload ,AC-17 (2) Protection of confidentiality / Integrity using encryption,,PR.PT-4: Communications and control networks are protected,,AC-17 (2) Protection of confidentiality / Integrity using encryption,Access to Twistlock Console and API is performed over the TLS protected port. 3rd party TLS certificate and keys and be used. ,https://docs.twistlock.com/docs/latest/configure/disable_http_access_console.html
,|,,,,,,,,,,,
AC - 20: Use of External Information Systems,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AC-20,,ID.AM-4: External information systems are catalogued,,,,
,Access Control ,,,,,AC - 20 (1)  - USE OF EXTERNAL INFORMATION SYSTEMS | LIMITS ON AUTHORIZED USE,,,,AC - 20 (1)  - USE OF EXTERNAL INFORMATION SYSTEMS | LIMITS ON AUTHORIZED USE,"Twistlock can be deployed in a completely offline environment.
Access to Twistlock Console and API is dependent upon the organizational policy.",
,|,,,,,,,,,,,
AC - 21: Information Sharing,,,,,,,,,,,,
,Intelligence Stream ,Anonymously report threats and vulnerabilities to Twistlock,Manage > System > Intelligence > Anonymously report threats and vulnerabilities to Twistlock,/api/v1/settings/telemetry,on | off,AC - 21 (1) INFORMATION SHARING | AUTOMATED DECISION SUPPORT,,,,AC - 21 (1) INFORMATION SHARING | AUTOMATED DECISION SUPPORT,Opt-in feature to anonymously report threat information to Twistlock,
,|,,,,,,,,,,,
AU - 1: Audit and Accountability Policy and Procedures,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AU-1,,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",,,,
,Compliance,Compliance Policy Templates,Defend > Compliance > Policy,/api/v1/static/vulnerabilities,300+ compliance checks available ,,,,,,"Using Twistlock Compliance Templates you can quickly enable the compliance rules that apply to an industry: GDPR, PIC, HIPAA & NIST SP 800-190",https://docs.twistlock.com/docs/latest/compliance/manage_compliance.html
,|,,,,,,,,,,,
AU - 3: Content of Audit Records,,,,,,,,,,,,
,Logging,Syslog and Stdout logging supports detail reporting for vulnerability and compliance finding and all runtime process activity ,Manage > System > Logging,/api/v1/settings/logging,"Detailed output for vulnerabilities and compliance: on | off
Detailed output of all runtime process activity: on | off",AU - 3(1) CONTENT OF AUDIT RECORDS | ADDITIONAL AUDIT INFORMATION,,,,AU - 3(1) CONTENT OF AUDIT RECORDS | ADDITIONAL AUDIT INFORMATION,Twistlock Syslog and Stdout logging can be configurated for verbose output ,https://docs.twistlock.com/docs/latest/audit/syslog_integration.html
,|,,,,,,,,,,,
AU - 4: Audit Storage Capacity,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AU-4,,,,,,
,Logging ,Console and Defender logs can be downloaded,"Console: Manage > System > View logs > Console
Defender: Manage > Defenders > Manage","Console: /api/v1/logs/system/download
Defender: /api/v1/logs/defender
",,AU-4(1) AUDIT STORAGE CAPACITY | TRANSFER TO ALTERNATE STORAGE,,,,,Twistlock logs can be downloaded. Twistlock is configured for log rotation. 100MB log rotation of 10 historical logs.,https://docs.twistlock.com/docs/latest/audit/log_rotation.html#overview
,|,,,,,,,,,,,
"AU - 6: Audit Review, Analysis and Reporting",,,,,,https://nvd.nist.gov/800-53/Rev4/control/AU-6,,,,,,
,Alerts,Alert Providers,Manage > System > Alerts,/api/v1/settings/alerts,"Alert Providers: email, Jira, Slack, Google Cloud Security Command Center, GCP Pub/Sub, PagerDuty, Webhook, AWS Security Hub, IBM Security Advisor","AU-6(1) AUDIT REVIEW, ANALYSIS, AND REPORTING | PROCESS INTEGRATION",,,,"AU-6(1) AUDIT REVIEW, ANALYSIS, AND REPORTING | PROCESS INTEGRATION",Twistlock can disseminate alerts based upon the type of alert and the alert method of the event owner.,https://docs.twistlock.com/docs/latest/configure/alerts_email_jira_slack.html
,|,,,,,,,,,,,
AU - 7: Audit Reduction and Report Generation,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AU-7,,,,,,
,Alerts,Alert Labels,Manage > System > Alerts > Alert Labels,/api/v1/settings/custom-labels,,,,,,,Docker and Kubernetes labels can be used to direct Alerts,https://docs.twistlock.com/docs/latest/audit/annotate_audits.html
,Logging,Syslog and Stdout logging supports detail reporting for vulnerability and compliance finding and all runtime process activity ,Manage > System > Logging,/api/v1/settings/logging,"Detailed output for vulnerabilities and compliance: on | off
Detailed output of all runtime process activity: on | off",AU-7(1) AUDIT REDUCTION AND REPORT GENERATION | AUTOMATIC PROCESSING,,,,AU-7(1) AUDIT REDUCTION AND REPORT GENERATION | AUTOMATIC PROCESSING,Twistlock Syslog and Stdout logging can be configurated for verbose output ,https://docs.twistlock.com/docs/latest/audit/syslog_integration.html
,|,,,,,,,,,,,
AU - 8: Time Stamps,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AU-8,,,,,,
,Logging,Console and Defender logs use GMT time zone,"Console: Manage > System > View logs > Console
Defender: Manage > Defenders > Manage",,,AU-8(1) TIME STAMPS | SYNCHRONIZATION WITH AUTHORITATIVE TIME SOURCE,,,,,Twistlock clock is mapped to GMT automatically,
,|,,,,,,,,,,,
AU - 9: Protection of Audit Information,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AU-9,,,,,,
,Authentication,User Role,Manage > Authentication > Users,User role of Auditor or higher allows access to view the Twistlock logs,,AU -9 (4) PROTECTION OF AUDIT INFORMATION | ACCESS BY SUBSET OF PRIVILEGED USERS,,PR.PT-4: Communications and control networks are protected,,AU -9 (4) PROTECTION OF AUDIT INFORMATION | ACCESS BY SUBSET OF PRIVILEGED USERS,Twistlock Defender transfers event data to the Twistlock Console is over an encrypted channel (mutual TLS),
,|,,,,,,,,,,,
AU - 11: Audit Record and Retention,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AU-11,,,,,,
,Logging ,Console and Defender logs can be downloaded,"Console: Manage > System > View logs > Console
Defender: Manage > Defenders > Manage","Console: /api/v1/logs/system/download
Defender: /api/v1/logs/defender
",,AU-11(1) AUDIT RECORD RETENTION | LONG-TERM RETRIEVAL CAPABILITY,,,,AU-11(1) AUDIT RECORD RETENTION | LONG-TERM RETRIEVAL CAPABILITY,Twistlock logs can be downloaded. Twistlock is configured for log rotation. 100MB log rotation of 10 historical logs.,https://docs.twistlock.com/docs/latest/audit/log_rotation.html#overview
,|,,,,,,,,,,,
AU - 12: Audit Generation,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AU-12,,,,,,
,Logging,Syslog and Stdout  ,Manage > System > Logging,/api/v1/settings/logging,Enabled | Disabled,AU-12(2) AUDIT GENERATION | STANDARDIZED FORMATS,,,,AU-12(2) AUDIT GENERATION | STANDARDIZED FORMATS,RFC5424 compliant event message formatting ,https://docs.twistlock.com/docs/latest/audit/syslog_integration.html
,|,,,,,,,,,,,
CA - 2: Security Assessments,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CA-2,,,,,Twistlock continuously monitors the environment for new and emerging threats,
,Vulnerabilities,Only scan images with running containers,Manage > System > Scan ,/api/v1/settings/scan,On | Off,CA-2 SECURITY ASSESSMENTS,,ID.RA-1: Asset vulnerabilities are identified and documented,,CA-2 SECURITY ASSESSMENTS,"Recommend setting to ""Off."" All images discovered local to the hosts will be scanned.",https://docs.twistlock.com/docs/latest/configure/configure_scan_intervals.html
,Vulnerabilities,Configure scan intervals,Manage > System > Scan ,/api/v1/settings/scan,1 - 24 hours,CA-2 SECURITY ASSESSMENTS,,ID.RA-1: Asset vulnerabilities are identified and documented,,CA-2 SECURITY ASSESSMENTS,Scheduled frequency of when Twistlock scans ,https://docs.twistlock.com/docs/latest/configure/configure_scan_intervals.html
,Intelligence Stream ,Enable automatic Twistlock Intelligence Stream Updates,Manage > System Intelligence > Enable online updates of Intelligence Stream,/api/v1/settings/intelligence,On | Off,CA-2 SECURITY ASSESSMENTS,,,,CA-2 SECURITY ASSESSMENTS,"Recommend setting to ""On."" Twistlock can be deployed in a completely offline environment",https://docs.twistlock.com/docs/latest/tools/update_intel_stream_offline.html
,Access Console,Auditor User Role ,Manage > Authentication > Users,/api/v1/users,Auditor,CA-2 (1) SECURITY ASSESSMENTS | INDEPENDENT ASSESSORS,,,,CA-2 (1) SECURITY ASSESSMENTS | INDEPENDENT ASSESSORS,Twistlock Auditor role can be given to independent assessors ,https://docs.twistlock.com/docs/latest/access_control/user_roles.html
,|,,,,,,,,,,,
CA - 3: System Interconnections,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CA-3,,,,,,
,Runtime ,Container Network ,Defend > Runtime > Container Policy > Network ,/api/v1/policies/runtime/container,"IP Connectivity: 
 - Allowed listen ports, outbound ports and Outbound IP addresses
- Denied listen port, outbound ports and Outbound IP addresses
DNS: Allowed | Denied domains",CA-3(5) SYSTEM INTERCONNECTIONS | RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS,,,,CA-3(5) SYSTEM INTERCONNECTIONS | RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS,Twistlock Runtime Container rules can control a containers ability to communicated to externally via TCP/IP,https://docs.twistlock.com/docs/latest/runtime_defense/runtime_defense.html
,,Host Network ,Defend > Runtime > Host Policy > Network,/api/v1/policies/runtime/host,"IP Connectivity: 
 - Allowed listen ports, outbound ports and Outbound IP addresses
- Denied listen port, outbound ports and Outbound IP addresses
DNS: Allowed | Denied domains",CA-3(5) SYSTEM INTERCONNECTIONS | RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS,,,,CA-3(5) SYSTEM INTERCONNECTIONS | RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS,Twistlock Runtime Host rules can control a hosts ability to communicated to externally via TCP/IP,https://docs.twistlock.com/docs/latest/runtime_defense/runtime_defense_hosts.html
,Firewall,Cloud Native Network Firewall: Container,Defend > Firewall > Cloud Native Network Firewall,/api/v1/policies/firewall/network/container,"Allow | Alert | Prevent
Source: Image | IP Address
Destination: Image | IP Address
Ports: range of allowed TCP port ",CA-3(5) SYSTEM INTERCONNECTIONS | RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS,,,,CA-3(5) SYSTEM INTERCONNECTIONS | RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS,Rules can be defined between container and between containers and external networks where Twistlock is not running,https://docs.twistlock.com/docs/latest/firewalls/cnnf.html
,,Cloud Native Network Firewall: Host,Defend > Firewall > CNNF for Hosts ,/api/v1/policies/firewall/network/host,"Allow | Alert 
Source: Image | IP Address
Destination: Image | IP Address
Ports: range of allowed TCP port ",CA-3(5) SYSTEM INTERCONNECTIONS | RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS,,,,CA-3(5) SYSTEM INTERCONNECTIONS | RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS,Rules can be defined between apps or between apps and external networks where Twistlock is not running,https://docs.twistlock.com/docs/latest/firewalls/cnnf_hosts.html
,Custom Feeds,IP Reputation Lists,Manage > System > Custom Feeds > IP Reputation Lists,/api/v1/feeds/custom/ips,IP Address in CIDR format,CA-3(5) SYSTEM INTERCONNECTIONS | RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS,,,,CA-3(5) SYSTEM INTERCONNECTIONS | RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS,List of suspicious or high risk IP endpoints. Supplement the Twistlock Intelligence Stream with your own list of banned IP addresses,https://docs.twistlock.com/docs/latest/configure/custom_feeds.html#banned-ip-addresses
,|,,,,,,,,,,,
CA - 5: Plan of Action and Milestones,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CA-5,,,,,Twistlock API can be used to generate reports for POAMs ,https://github.com/twistlock/sample-code/tree/master/powershell
,API,Vulnerability Reporting,Monitor > Vulnerabilities > Vulnerability Explorer,/api/v1/stats/vulnerabilities/impacted-resources,,CA-5(1) PLAN OF ACTION AND MILESTONES | AUTOMATION SUPPORT FOR ACCURACY / CURRENCY,,ID.RA-4: Potential business impacts and likelihoods are identified,,CA -5 PLAN OF ACTION AND MILESTONES,"Query Twistlock API for a summary count of CVEs in the images, containers, hosts, and serverless functions your environment",https://docs.twistlock.com/docs/latest/api/api_reference.html#stats_vulnerabilities_get
,API,Compliance Reporting,Monitor > Compliance > Compliance Explorer,/api/v1/stats/compliance,,CA-5(1) PLAN OF ACTION AND MILESTONES | AUTOMATION SUPPORT FOR ACCURACY / CURRENCY,,,,,"Query Twistlock API for a summary count of compliance findings in the images, containers, hosts, and serverless functions your environment",https://docs.twistlock.com/docs/latest/api/api_reference.html#stats_compliance_get
,Custom Feeds,CVE Allow List,Manage > System > Custom Feeds > CVE Allow List,api/v1/feeds/custom/cve-allow-list,,,,,,,"Allow CVEs to existing for a specified period of time, after time expires the vulnerability will be alerted and rules can be based upon the CVE. System wide exception.",https://docs.twistlock.com/docs/latest/configure/custom_feeds.html#cve-allow-list
,Vulnerabilities,Image Policy CVE Exception,Defend > Vulnerabilities > Images : Policy > Advanced Settings,/api/v1/policies/vulnerability/images,,,,,,,Allow CVE exception within individual image vulnerability rules,https://docs.twistlock.com/docs/latest/vulnerability_management/vuln_management_rules.html
,Vulnerabilities,Host Policy CVE Exception,Defend > Vulnerabilities > Policy,/api/v1/policies/vulnerability/host,,,,,,,Allow CVE exception within individual host vulnerability rules,https://docs.twistlock.com/docs/latest/vulnerability_management/vuln_management_rules.html
,|,,,,,,,,,,,
CA - 6: Security Authorization,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CA-6,,,,,Twistlock API to generate authority to operate packages,
,API,"Compilation of vulnerability, compliance and runtime results for a microservice",Various locations,multiple API calls,,,,,,,Use Twistlock API to generate Authority to Operate reports for the applications to be deployed,https://github.com/twistlock/sample-code/blob/master/powershell/rmf_ato.ps1
,Compliance,Trusted Images,Defend > Compliance > Trusted Images,/api/v1/trust,,,,,SP800-190 4.2.3,,"Define image trust based upon the Docker Registry of the image, the Docker imageID and RootFS layers of a ""base image."" Compliance rule #423 Image is not Trusted can be applied to block the creation of a container from an image that is not trusted. The authorizing official can deem an image trusted or not trusted",https://docs.twistlock.com/docs/latest/compliance/trusted_images.html
,|,,,,,,,,,,,
CA - 7: Continuous Monitoring,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CA-7,,,,,All Twistlock features are included in a single license. All out-of-the box rules are enabled to alert.,
,Firewall,"Cloud Native Network Firewall: Container
",Defend > Firewall > Cloud Native Network Firewall,/api/v1/policies/firewall/network/container,Allow | Alert | Prevent,,,DE.CM-1: The network is monitored to detect potential cybersecurity events,,,"Set to ""Alert"" to continually monitor container to container traffic",https://docs.twistlock.com/docs/latest/firewalls/cnnf.html
,,Cloud Native Network Firewall: Host,Defend > Firewall > CNNF for Hosts ,/api/v1/policies/firewall/network/host,Allow | Alert ,,,DE.CM-1: The network is monitored to detect potential cybersecurity events,,,"Set to ""Alert"" and create a policy for all App ""*"" communicating to all Apps ""*""",https://docs.twistlock.com/docs/latest/firewalls/cnnf_hosts.html
,Runtime ,Container: Default - alert on suspicious runtime behavior,Defend > Runtime > Container Policy  ,/api/v1/policies/runtime/container,,,,,,,Default - alert on suspicious runtime behavior policy is enabled by default,https://docs.twistlock.com/docs/latest/runtime_defense/runtime_defense.html
,,Host: Default - alert on suspicious runtime behavior,Defend > Runtime > Host Policy  ,/api/v1/policies/runtime/host,,,,,,,Default - alert on suspicious runtime behavior policy is enabled by default,https://docs.twistlock.com/docs/latest/runtime_defense/runtime_defense_hosts.html
,Vulnerabilities,Images: Default - alert all components,Defend > Vulnerabilities > Images,/api/v1/policies/vulnerability/images,,,,ID.RA-1: Asset vulnerabilities are identified and documented,,,Default - alert all components is enabled by default,https://docs.twistlock.com/docs/latest/vulnerability_management/vuln_management_rules.html
,,Hosts: Default - alert all components,Defend > Vulnerabilities > Host,/api/v1/policies/vulnerability/host,,,,ID.RA-1: Asset vulnerabilities are identified and documented,,,Default - alert all components is enabled by default,https://docs.twistlock.com/docs/latest/vulnerability_management/vuln_management_rules.html
,,Configure scan intervals,Manage > System > Scan ,/api/v1/settings/scan,1 - 24 hours,CA-7(1) CONTINUOUS MONITORING,,,,CA-7(1) CONTINUOUS MONITORING,Scheduled frequency of when Twistlock scans ,https://docs.twistlock.com/docs/latest/configure/configure_scan_intervals.html
,Compliance,Container & Images: Default - alert on critical and high,Defend > Compliance> Container and Images,/api/v1/policies/compliance/container,,,,,,,Default - alert on critical and high is enabled by default. This scans for all Critical and High compliance issue for container and images. Based upon the CIS Docker& Kubernetes Benchmarks and NIST 800-190,https://docs.twistlock.com/docs/latest/compliance/manage_compliance.html
,,Container & Images: Default - alert on critical and high,Defend > Compliance > Hosts,/api/v1/policies/compliance/host,,,,,,,"Default - alert on critical and high is enabled by default. This scans for all Critical and High compliance issue for container and images. Based upon the CIS Docker, Kubernetes & Linux Benchmarks and NIST 800-190",https://docs.twistlock.com/docs/latest/compliance/manage_compliance.html
,Alerts,Alert Providers,Manage > System > Alerts,/api/v1/settings/alerts,"Alert Providers: email, Jira, Slack, Google Cloud Security Command Center, GCP Pub/Sub, PagerDuty, Webhook, AWS Security Hub, IBM Security Advisor",,,,,,Twistlock can disseminate alerts based upon the type of alert and the alert method of the audit owner,https://docs.twistlock.com/docs/latest/configure/alerts_email_jira_slack.html
,Logging,Syslog and Stdout  ,Manage > System > Logging,/api/v1/settings/logging,Enabled | Disabled,,,,,,RFC5424 compliant event message formatting ,https://docs.twistlock.com/docs/latest/audit/syslog_integration.html
,Forensics,Forensic data collection,Manage > System > Forensics,/api/v1/settings/forenic,Enabled | Disabled,CA-7(3) CONTINUOUS MONITORING | TREND ANALYSES,,DE.AE-2: Detected events are analyzed to understand attack targets and methods,,,"Collect detailed host and container forensics data.When enabled, Defenders store a local log of host and container operations onthe host, and selectively forwards it to Console on-demand",https://docs.twistlock.com/docs/latest/runtime_defense/incident_explorer.html
,|,,,,,,,,,,,
CA - 9: Internal System Connections,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CA-9,,,,,,
